posi_x [m],posi_y [m],posi_z [m]
1.0885760419,-0.1658365311,1.4892511184
1.0906713574,-0.1657112271,1.4864889278
1.0929294087,-0.1654950427,1.4834866458
1.0950190110,-0.1655755331,1.4805364856
1.0971615609,-0.1656923229,1.4773870871
1.0989515189,-0.1660455237,1.4744066798
1.1005107918,-0.1666779979,1.4709082315
1.1019938526,-0.1676735340,1.4673071096
1.1034030562,-0.1688409831,1.4637207807
1.1047178830,-0.1702065187,1.4598359117
1.1057508714,-0.1719779105,1.4559537444
1.1068444838,-0.1740901887,1.4520811127
1.1076402785,-0.1767062407,1.4476519950
1.1086685974,-0.1796592845,1.4434150604
1.1094938690,-0.1825708695,1.4391919612
1.1103288261,-0.1859453937,1.4347357135
1.1109556880,-0.1898425419,1.4303470310
1.1117958559,-0.1940296555,1.4259933303
1.1126454241,-0.1982991936,1.4216625806
1.1131470820,-0.2034169208,1.4167567459
1.1139865249,-0.2091266137,1.4124165181
1.1147373794,-0.2151984220,1.4085281473
1.1153363624,-0.2216869953,1.4040601898
1.1164771233,-0.2286248992,1.3998934773
1.1175109292,-0.2360644344,1.3958944548
1.1188648084,-0.2436316465,1.3917712252
1.1204315012,-0.2522172847,1.3881062315
1.1221350684,-0.2607276754,1.3839918326
1.1241077843,-0.2698051094,1.3805705316
1.1261652492,-0.2799114273,1.3770407682
1.1283957649,-0.2904919486,1.3734071995
1.1305945267,-0.2995569214,1.3715275989
1.1332369645,-0.3104561339,1.3691732966
1.1355637372,-0.3207216493,1.3669505474
1.1392023988,-0.3324635632,1.3653412098
1.1412906903,-0.3425800510,1.3637583582
1.1468722015,-0.3575717515,1.3614422115
1.1510954429,-0.3707564462,1.3606637286
1.1563118887,-0.3841991162,1.3602445222
1.1613416923,-0.3973869299,1.3607161355
1.1671078734,-0.4109551848,1.3606082761
1.1708362331,-0.4231752031,1.3618272875
1.1787737423,-0.4387881367,1.3628972008
1.1857790422,-0.4532498341,1.3650100542
1.1931002622,-0.4683855573,1.3673484225
1.2005719172,-0.4834686486,1.3697240191
1.2104974925,-0.4991724280,1.3733844279
1.2195256827,-0.5141303763,1.3768777216
1.2293324753,-0.5290138785,1.3811610260
1.2396868730,-0.5439888639,1.3856162794
1.2507263934,-0.5592194263,1.3907860902
1.2630996666,-0.5744175277,1.3965211944
1.2749893420,-0.5894316255,1.4030107255
1.2884393483,-0.6047005018,1.4095170955
1.3021656204,-0.6191643557,1.4166888714
1.3168545192,-0.6338895528,1.4242110241
1.3319615839,-0.6479378598,1.4323985211
1.3482894515,-0.6622546366,1.4408519564
1.3654571070,-0.6758724085,1.4496709784
1.3832545595,-0.6892476752,1.4590557034
1.4020718165,-0.7021316735,1.4685716833
1.4214179547,-0.7146004900,1.4779703556
1.4418341143,-0.7265658843,1.4881811620
1.4632390907,-0.7379932566,1.4982796411
1.4854994562,-0.7490456429,1.5084999151
1.5086697132,-0.7592063267,1.5191001651
1.5308565725,-0.7692229376,1.5289924887
1.5542543080,-0.7778704851,1.5398410419
1.5794379654,-0.7861678868,1.5505462620
1.6062778992,-0.7935711432,1.5609371489
1.6346807705,-0.8003550154,1.5710396219
1.6642006746,-0.8059594468,1.5800456049
1.6980700862,-0.8105388561,1.5847824849
1.7292567071,-0.8146038015,1.5920387185
1.7613521058,-0.8178786961,1.5984458447
1.7948920895,-0.8202049747,1.6040380893
1.8290697277,-0.8217646890,1.6086022931
1.8641788009,-0.8223539228,1.6133977627
1.9000884683,-0.8223081353,1.6168382855
1.9367205194,-0.8213410323,1.6187912314
1.9743556073,-0.8199670772,1.6202619823
2.0129423480,-0.8178473312,1.6212029201
2.0515106863,-0.8154934699,1.6214364700
2.0902653208,-0.8131143130,1.6214185493
2.1291654496,-0.8109425658,1.6217586675
2.1678817058,-0.8083515101,1.6214406404
2.2068830859,-0.8061373444,1.6213156286
2.2456773461,-0.8036155852,1.6214805680
2.2848061826,-0.8013450664,1.6219332529
2.3229047634,-0.7991856951,1.6218938148
2.3622106859,-0.7970183839,1.6219856414
2.4009968095,-0.7945334160,1.6222208043
2.4393986441,-0.7921523807,1.6217842944
2.4782463101,-0.7902330200,1.6217684428
2.5169518725,-0.7876556043,1.6218430460
2.5556299758,-0.7854650831,1.6221369776
2.5943789801,-0.7831763953,1.6218226699
